GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
1500000US080310003011,080310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",796,208,397,110,54,62,0,12,10,16,0,12,0,12,0,12,0,12,17,27,0,12,21,27,52,42,28,34,39,44,49,45,41,47,0,12,25,35,23,35,16,24,0,12,0,12,0,12,22,34,399,123,20,32,19,29,0,12,30,45,0,12,0,12,0,12,12,20,0,12,20,26,90,58,37,31,22,26,0,12,68,42,0,12,20,32,38,40,0,12,0,12,0,12,23,36,0,12
1500000US080310003012,080310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",812,198,334,89,35,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,30,47,42,53,47,66,38,16,25,0,12,0,12,0,12,21,33,0,12,32,34,45,48,0,12,0,12,0,12,478,150,77,53,37,41,17,29,0,12,0,12,0,12,0,12,0,12,67,62,43,43,40,36,54,40,29,48,0,12,0,12,16,26,31,33,22,34,45,44,0,12,0,12,0,12,0,12
1500000US080310003013,080310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",1213,369,534,217,0,12,0,12,25,32,122,107,0,12,0,12,0,12,20,33,87,98,48,46,40,33,82,81,0,12,57,53,34,40,0,12,0,12,0,12,19,32,0,12,0,12,0,12,0,12,679,204,87,68,0,12,24,33,7,14,17,29,0,12,0,12,16,25,50,42,114,89,25,27,31,37,19,34,90,83,119,110,21,34,14,22,0,12,20,32,0,12,0,12,0,12,25,37
1500000US080310003014,080310003014,"Block Group 4, Census Tract 3.01, Denver County, Colorado",1317,405,567,183,18,27,16,25,0,12,0,12,0,12,0,12,24,38,0,12,58,71,12,19,69,54,90,75,66,87,77,63,39,45,23,37,0,12,19,29,13,21,0,12,0,12,43,46,0,12,750,290,0,12,35,40,17,28,54,72,0,12,75,99,0,12,0,12,45,66,47,44,57,65,48,44,95,88,0,12,41,32,25,19,0,12,0,12,0,12,0,12,117,88,75,97,19,32
1500000US080310003015,080310003015,"Block Group 5, Census Tract 3.01, Denver County, Colorado",780,208,450,136,33,28,16,24,50,65,0,12,0,12,0,12,0,12,0,12,75,87,26,30,37,56,61,42,29,28,12,20,15,22,77,103,0,12,0,12,19,30,0,12,0,12,0,12,0,12,330,123,15,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,54,65,33,37,60,35,22,35,14,22,53,43,17,27,0,12,62,82,0,12,0,12,0,12,0,12,0,12
1500000US080310003016,080310003016,"Block Group 6, Census Tract 3.01, Denver County, Colorado",824,246,357,84,19,29,36,43,0,12,0,12,0,12,0,12,0,12,0,12,46,46,64,47,17,28,28,23,32,37,0,12,23,37,50,55,19,30,2,6,21,29,0,12,0,12,0,12,0,12,467,209,0,12,0,12,13,22,0,12,0,12,3,8,0,12,0,12,137,134,122,97,29,33,28,23,30,36,25,40,42,44,0,12,15,25,0,12,0,12,0,12,0,12,0,12,23,34
1500000US080310003021,080310003021,"Block Group 1, Census Tract 3.02, Denver County, Colorado",771,404,372,217,83,91,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,30,98,96,15,24,26,43,53,76,16,25,0,12,0,12,12,19,14,24,32,43,0,12,0,12,0,12,399,200,92,89,0,12,0,12,0,12,0,12,0,12,0,12,10,15,0,12,29,30,108,99,12,21,14,23,66,75,12,19,0,12,0,12,0,12,0,12,0,12,56,56,0,12,0,12
1500000US080310003022,080310003022,"Block Group 2, Census Tract 3.02, Denver County, Colorado",936,381,449,213,15,22,52,86,7,14,56,80,0,12,0,12,0,12,66,74,26,41,75,92,33,30,6,13,39,45,36,39,24,28,0,12,0,12,0,12,14,23,0,12,0,12,0,12,0,12,487,190,13,22,6,11,15,24,76,89,0,12,0,12,0,12,24,37,128,92,17,27,75,86,14,22,0,12,58,47,0,12,0,12,0,12,0,12,0,12,48,46,0,12,0,12,13,21
1500000US080310003023,080310003023,"Block Group 3, Census Tract 3.02, Denver County, Colorado",784,258,351,120,13,15,43,52,31,49,0,12,0,12,0,12,0,12,0,12,0,12,23,29,57,62,59,67,37,40,30,47,0,12,0,12,0,12,12,23,0,12,28,34,0,12,18,29,0,12,433,162,44,60,0,12,0,12,0,12,29,43,0,12,0,12,0,12,30,50,58,61,68,59,64,55,16,25,0,12,17,27,0,12,31,49,34,42,0,12,12,23,15,24,0,12,15,26
1500000US080310003024,080310003024,"Block Group 4, Census Tract 3.02, Denver County, Colorado",779,259,408,182,20,32,47,54,34,49,13,22,0,12,0,12,0,12,0,12,0,12,11,19,65,44,31,35,40,59,46,57,39,37,0,12,18,29,0,12,0,12,44,70,0,12,0,12,0,12,371,161,18,28,12,20,32,50,15,25,27,43,0,12,0,12,0,12,38,43,54,45,15,19,16,27,12,21,57,63,34,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,50
1500000US080310003025,080310003025,"Block Group 5, Census Tract 3.02, Denver County, Colorado",1303,397,633,218,19,19,16,23,16,22,44,56,0,12,0,12,31,49,0,12,177,128,106,120,27,29,34,36,81,44,0,12,15,25,0,12,15,24,52,59,0,12,0,12,0,12,0,12,0,12,670,252,15,37,25,37,15,21,0,12,22,34,67,106,0,12,0,12,115,106,50,51,33,33,76,61,117,95,38,60,16,26,0,12,20,41,0,12,28,32,17,29,0,12,16,26,0,12
1500000US080310003031,080310003031,"Block Group 1, Census Tract 3.03, Denver County, Colorado",586,216,269,112,11,18,21,25,25,26,0,12,0,12,0,12,0,12,0,12,13,20,58,76,0,12,64,37,15,23,32,39,0,12,0,12,0,12,0,12,0,12,13,21,0,12,0,12,17,25,317,122,12,20,25,27,0,12,0,12,0,12,0,12,0,12,0,12,42,52,39,49,24,29,23,27,59,42,23,33,46,47,0,12,11,19,0,12,13,21,0,12,0,12,0,12,0,12
1500000US080310003032,080310003032,"Block Group 2, Census Tract 3.03, Denver County, Colorado",769,243,409,175,12,20,31,33,21,28,20,26,0,12,0,12,0,12,4,9,40,64,94,61,27,35,15,21,20,29,4,8,22,28,0,12,51,70,2,8,6,14,7,18,8,18,22,27,3,7,360,112,0,12,19,26,0,12,0,12,0,12,0,12,0,12,0,12,88,58,83,56,44,43,0,12,15,24,16,26,0,12,0,12,33,36,0,12,16,27,0,12,46,48,0,12,0,12
1500000US080310003033,080310003033,"Block Group 3, Census Tract 3.03, Denver County, Colorado",1093,205,482,115,28,32,10,16,12,20,14,22,0,12,0,12,0,12,0,12,57,53,20,25,77,49,30,32,53,44,14,22,14,23,46,66,0,12,46,41,0,12,32,37,15,25,0,12,14,23,611,142,65,46,21,24,15,24,19,28,0,12,0,12,13,20,10,17,103,88,50,39,120,74,43,39,16,25,0,12,0,12,16,24,47,44,16,24,12,20,16,25,14,23,15,23,0,12
1500000US080310003034,080310003034,"Block Group 4, Census Tract 3.03, Denver County, Colorado",492,129,203,68,12,19,13,25,0,12,0,12,0,12,0,12,0,12,11,18,48,42,9,16,46,43,26,30,0,12,11,17,0,12,0,12,0,12,0,12,0,12,14,22,0,12,13,16,0,12,289,87,36,54,0,12,0,12,0,12,0,12,0,12,0,12,13,20,83,46,24,28,30,29,28,28,0,12,0,12,15,23,0,12,0,12,0,12,16,25,15,23,0,12,29,32,0,12
1500000US080310003035,080310003035,"Block Group 5, Census Tract 3.03, Denver County, Colorado",841,182,450,123,16,27,25,29,0,12,30,34,0,12,0,12,0,12,0,12,56,52,111,67,50,47,12,19,56,52,59,51,17,27,0,12,18,27,0,12,0,12,0,12,0,12,0,12,0,12,391,101,0,12,11,18,10,17,19,29,0,12,0,12,0,12,0,12,70,59,46,44,40,37,12,19,67,53,16,25,37,29,0,12,33,37,0,12,15,25,0,12,15,23,0,12,0,12
1500000US080310003036,080310003036,"Block Group 6, Census Tract 3.03, Denver County, Colorado",645,156,302,104,17,26,27,29,0,12,0,12,0,12,0,12,0,12,0,12,50,56,29,30,50,45,29,24,14,23,0,12,16,26,22,30,6,14,0,12,0,12,21,28,21,28,0,12,0,12,343,102,14,23,16,25,0,12,0,12,0,12,0,12,0,12,0,12,73,77,49,45,17,27,46,43,28,31,16,25,17,27,18,27,0,12,0,12,0,12,29,29,20,26,0,12,0,12
1500000US080310004011,080310004011,"Block Group 1, Census Tract 4.01, Denver County, Colorado",755,241,353,121,39,32,46,49,5,9,0,12,0,12,0,12,0,12,27,26,24,25,62,60,20,19,54,37,13,21,0,12,14,24,0,12,13,20,13,18,0,12,16,24,0,12,7,12,0,12,402,154,33,43,23,35,48,53,6,10,0,12,8,16,9,16,21,25,28,22,41,43,16,18,47,45,14,16,38,36,7,13,8,14,20,26,0,12,17,25,0,12,0,12,8,12,10,17
1500000US080310004012,080310004012,"Block Group 2, Census Tract 4.01, Denver County, Colorado",1009,367,512,193,51,33,60,53,16,19,0,12,0,12,0,12,0,12,0,12,64,64,76,46,69,62,26,25,18,30,31,35,23,25,12,18,47,45,7,12,0,12,8,13,0,12,4,7,0,12,497,202,51,48,5,8,29,37,0,12,0,12,0,12,0,12,28,47,80,71,97,70,28,27,28,25,21,26,0,12,56,43,30,40,0,12,0,12,0,12,18,19,11,18,0,12,15,21
1500000US080310004013,080310004013,"Block Group 3, Census Tract 4.01, Denver County, Colorado",758,186,426,161,18,19,0,12,17,21,0,12,0,12,0,12,0,12,35,42,80,63,94,67,41,32,15,17,0,12,50,52,11,19,0,12,0,12,5,9,0,12,30,43,30,34,0,12,0,12,332,87,16,17,26,31,9,14,0,12,0,12,4,7,0,12,13,20,16,19,63,38,46,47,25,25,9,13,35,43,12,18,0,12,0,12,0,12,5,9,15,19,23,34,0,12,15,17
1500000US080310004014,080310004014,"Block Group 4, Census Tract 4.01, Denver County, Colorado",906,221,330,77,0,12,0,12,47,53,0,12,0,12,0,12,0,12,11,19,72,42,73,58,47,34,28,25,21,25,26,25,1,4,0,12,2,5,0,12,2,4,0,12,0,12,0,12,0,12,576,175,48,56,9,13,7,12,35,47,0,12,0,12,0,12,29,24,132,86,83,54,98,65,69,56,10,15,0,12,13,18,0,12,10,16,0,12,10,12,8,13,7,11,0,12,8,12
1500000US080310004021,080310004021,"Block Group 1, Census Tract 4.02, Denver County, Colorado",544,152,269,102,24,27,0,12,0,12,27,40,10,17,0,12,0,12,24,40,0,12,91,53,13,20,0,12,0,12,15,24,0,12,0,12,55,49,0,12,3,7,2,4,5,11,0,12,0,12,275,68,24,28,12,19,0,12,0,12,0,12,0,12,0,12,22,23,30,34,53,37,16,26,16,25,38,43,17,29,19,31,0,12,0,12,15,24,0,12,0,12,13,22,0,12,0,12
1500000US080310004022,080310004022,"Block Group 2, Census Tract 4.02, Denver County, Colorado",1280,279,638,200,51,74,43,41,31,36,20,31,0,12,0,12,0,12,0,12,117,68,52,64,77,89,106,73,112,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,19,0,12,16,28,642,161,11,19,25,31,47,34,0,12,0,12,0,12,0,12,32,29,130,92,109,105,11,21,166,81,45,36,33,36,0,12,13,19,0,12,0,12,0,12,20,36,0,12,0,12,0,12
1500000US080310004023,080310004023,"Block Group 3, Census Tract 4.02, Denver County, Colorado",1275,209,685,162,0,12,33,53,0,12,0,12,0,12,0,12,0,12,20,21,157,100,178,98,90,66,32,38,55,42,38,40,1,2,0,12,0,12,73,85,7,12,1,2,0,12,0,12,0,12,590,124,0,12,0,12,0,12,0,12,0,12,0,12,0,12,55,58,194,108,135,77,52,53,102,60,37,44,1,2,1,2,1,2,0,12,9,15,1,2,0,12,1,2,0,12,1,2
1500000US080310004024,080310004024,"Block Group 4, Census Tract 4.02, Denver County, Colorado",751,257,482,189,0,12,0,12,53,76,42,58,0,12,0,12,0,12,0,12,118,85,122,67,13,22,50,35,0,12,0,12,37,43,0,12,0,12,21,33,0,12,26,19,0,12,0,12,0,12,269,100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,59,51,34,38,56,50,19,30,0,12,16,26,0,12,0,12,0,12,0,12,57,74,28,19,0,12,0,12,0,12
1500000US080310004025,080310004025,"Block Group 5, Census Tract 4.02, Denver County, Colorado",843,246,378,160,0,12,0,12,0,12,11,18,3,7,0,12,0,12,0,12,35,41,30,33,46,53,31,37,0,12,133,126,0,12,0,12,17,29,0,12,13,20,0,12,0,12,0,12,59,55,465,156,12,21,0,12,13,20,0,12,0,12,0,12,0,12,10,17,16,24,47,43,34,28,75,64,24,59,21,34,18,29,0,12,0,12,0,12,0,12,0,12,63,51,56,53,76,46
1500000US080310004026,080310004026,"Block Group 6, Census Tract 4.02, Denver County, Colorado",481,149,232,102,0,12,0,12,24,28,0,12,0,12,0,12,0,12,0,12,12,21,0,12,27,32,29,36,60,54,39,63,0,12,17,26,0,12,0,12,10,16,0,12,0,12,0,12,14,27,249,90,0,12,0,12,10,21,0,12,12,19,0,12,0,12,0,12,0,12,27,32,16,26,35,29,30,35,12,22,17,26,0,12,0,12,49,78,31,37,0,12,0,12,10,19,0,12
1500000US080310005011,080310005011,"Block Group 1, Census Tract 5.01, Denver County, Colorado",1103,125,508,87,24,20,25,13,25,17,6,10,3,4,6,11,0,12,0,12,49,28,73,34,88,42,55,25,62,47,16,14,8,10,5,10,18,16,0,12,11,12,7,12,0,12,27,30,0,12,595,78,59,30,50,26,10,11,6,9,0,12,0,12,0,12,0,12,53,27,93,38,52,26,111,37,21,16,40,23,19,15,0,12,21,16,0,12,33,21,8,12,19,28,0,12,0,12
1500000US080310005012,080310005012,"Block Group 2, Census Tract 5.01, Denver County, Colorado",915,152,464,90,21,19,41,37,4,5,4,6,4,6,0,12,0,12,2,4,36,36,24,15,93,51,21,17,43,33,20,15,53,29,44,34,4,6,16,14,21,18,8,11,5,9,0,12,0,12,451,80,44,37,19,15,9,9,4,6,0,12,0,12,0,12,8,11,32,29,32,21,70,41,54,33,14,12,30,19,46,21,14,12,11,12,7,11,24,17,8,12,18,19,0,12,7,10
1500000US080310005021,080310005021,"Block Group 1, Census Tract 5.02, Denver County, Colorado",1152,342,586,184,42,47,0,12,19,30,18,29,0,12,0,12,0,12,39,43,63,57,97,66,121,100,14,22,17,29,15,26,98,84,0,12,35,38,0,12,0,12,8,18,0,12,0,12,0,12,566,207,39,63,15,24,14,25,0,12,0,12,0,12,0,12,8,13,77,62,68,59,76,74,68,84,38,45,77,76,19,31,0,12,0,12,0,12,0,12,0,12,67,78,0,12,0,12
1500000US080310005022,080310005022,"Block Group 2, Census Tract 5.02, Denver County, Colorado",1241,326,607,171,32,29,31,36,37,42,0,12,0,12,0,12,0,12,0,12,52,68,147,92,8,16,91,66,131,81,14,24,0,12,0,12,17,27,14,22,19,30,0,12,0,12,0,12,14,23,634,199,65,71,74,59,0,12,18,29,0,12,0,12,0,12,0,12,28,33,125,106,90,66,97,68,67,62,30,49,0,12,0,12,12,21,0,12,0,12,14,22,0,12,0,12,14,23
1500000US080310005023,080310005023,"Block Group 3, Census Tract 5.02, Denver County, Colorado",1069,367,700,255,88,96,20,32,21,32,75,77,64,89,0,12,0,12,26,37,39,39,33,36,0,12,124,95,34,53,41,44,30,47,20,29,65,62,0,12,0,12,20,39,0,12,0,12,0,12,369,142,0,12,0,12,50,67,0,12,32,44,0,12,0,12,0,12,42,43,37,40,48,62,23,37,31,49,51,65,0,12,0,12,0,12,0,12,0,12,39,47,0,12,0,12,16,25
1500000US080310005024,080310005024,"Block Group 4, Census Tract 5.02, Denver County, Colorado",1391,288,681,209,67,73,58,74,0,12,0,12,0,12,0,12,93,115,0,12,13,22,39,44,12,22,22,34,47,52,22,37,26,42,0,12,27,43,19,31,70,77,52,60,61,61,18,31,35,41,710,242,19,33,0,12,94,135,0,12,0,12,0,12,0,12,0,12,85,93,40,47,22,35,109,110,0,12,0,12,0,12,17,28,15,25,127,118,73,79,63,53,14,23,16,24,16,27
1500000US080310005025,080310005025,"Block Group 5, Census Tract 5.02, Denver County, Colorado",1063,329,534,205,30,49,56,63,21,31,0,12,56,56,0,12,25,41,31,42,0,12,128,77,69,55,15,24,39,44,24,35,15,25,0,12,25,39,0,12,0,12,0,12,0,12,0,12,0,12,529,163,0,12,0,12,0,12,23,33,0,12,0,12,0,12,0,12,28,33,100,74,51,49,59,56,70,57,94,95,24,37,0,12,18,28,0,12,0,12,0,12,0,12,0,12,62,58
1500000US080310006001,080310006001,"Block Group 1, Census Tract 6, Denver County, Colorado",1388,234,677,133,43,40,0,12,14,23,0,12,0,12,0,12,0,12,6,10,180,76,182,64,81,52,73,47,10,16,49,47,0,12,17,21,0,12,22,29,0,12,0,12,0,12,0,12,0,12,711,142,13,20,22,36,13,21,12,19,0,12,0,12,0,12,56,43,209,85,169,57,67,46,12,18,52,43,18,29,20,25,0,12,11,16,0,12,0,12,0,12,37,51,0,12,0,12
