"session_address_1","session_state","session_city","session_id","camp_name","camp_website","camp_email","camp_phone","camp_address_1","camp_city","camp_state","camp_zip","X","session_name","session_reg_open","session_reg_close","session_size","session_gender","session_min_age","session_max_age","session_cost","session_date_start","session_date_end","session_count","session_address_name","session_zip","session_categories","calendar.date","start.time.hours","end.time.hours","duration","lat","long","lat_lon"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","6/19/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","6/20/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","6/24/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","6/25/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","6/26/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","6/27/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","7/9/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","7/10/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","7/11/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","7/15/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","7/16/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","7/17/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","7/18/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","7/22/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","7/23/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","7/24/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","7/25/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"12600 Hoffman Blv.","CO","Aurora","region_co","Wakanda in Aurora","https://empowerhighschool.org/wakanda?fbclid=IwAR3LYUfzErvV0ScVynUulDiKdCUrjzwPZ15NEylrq9C0q6GAI1HzCosTeN4","",NA,"12600 Hoffman Blvd","Aurora ","CO",80011,NA,"Wakanda in Aurora",NA,NA,30,"both",NA,NA,"$350 ","6/24/19","6/28/19",NA,"Fire Station #2 ",80011,"arts, academic, stem","6/24/19","9:00am","3:00pm","6 hours",39.7291199,-104.8420914,"39.7291199 -104.8420914"
"12600 Hoffman Blv.","CO","Aurora","region_co","Wakanda in Aurora","https://empowerhighschool.org/wakanda?fbclid=IwAR3LYUfzErvV0ScVynUulDiKdCUrjzwPZ15NEylrq9C0q6GAI1HzCosTeN4","",NA,"12600 Hoffman Blvd","Aurora ","CO",80011,NA,"Wakanda in Aurora",NA,NA,30,"both",NA,NA,"$350 ","6/24/19","6/28/19",NA,"Fire Station #2 ",80011,"arts, academic, stem","6/25/19","9:00am","3:00pm","6 hours",39.7291199,-104.8420914,"39.7291199 -104.8420914"
"12600 Hoffman Blv.","CO","Aurora","region_co","Wakanda in Aurora","https://empowerhighschool.org/wakanda?fbclid=IwAR3LYUfzErvV0ScVynUulDiKdCUrjzwPZ15NEylrq9C0q6GAI1HzCosTeN4","",NA,"12600 Hoffman Blvd","Aurora ","CO",80011,NA,"Wakanda in Aurora",NA,NA,30,"both",NA,NA,"$350 ","6/24/19","6/28/19",NA,"Fire Station #2 ",80011,"arts, academic, stem","6/26/19","9:00am","3:00pm","6 hours",39.7291199,-104.8420914,"39.7291199 -104.8420914"
"12600 Hoffman Blv.","CO","Aurora","region_co","Wakanda in Aurora","https://empowerhighschool.org/wakanda?fbclid=IwAR3LYUfzErvV0ScVynUulDiKdCUrjzwPZ15NEylrq9C0q6GAI1HzCosTeN4","",NA,"12600 Hoffman Blvd","Aurora ","CO",80011,NA,"Wakanda in Aurora",NA,NA,30,"both",NA,NA,"$350 ","6/24/19","6/28/19",NA,"Fire Station #2 ",80011,"arts, academic, stem","6/27/19","9:00am","3:00pm","6 hours",39.7291199,-104.8420914,"39.7291199 -104.8420914"
"12600 Hoffman Blv.","CO","Aurora","region_co","Wakanda in Aurora","https://empowerhighschool.org/wakanda?fbclid=IwAR3LYUfzErvV0ScVynUulDiKdCUrjzwPZ15NEylrq9C0q6GAI1HzCosTeN4","",NA,"12600 Hoffman Blvd","Aurora ","CO",80011,NA,"Wakanda in Aurora",NA,NA,30,"both",NA,NA,"$350 ","6/24/19","6/28/19",NA,"Fire Station #2 ",80011,"arts, academic, stem","6/28/19","9:00am","3:00pm","6 hours",39.7291199,-104.8420914,"39.7291199 -104.8420914"
"1445 Dayton St.","CO","Aurora","region_co","Visions Performing Arts Company ","https://visionsperformingartscollegeprep.org/?fbclid=IwAR2snkioo_fu8vf2_VYX8A5I-u_Uo5RNRs1nAfKZ8JAfgBQHcHBPuAg7VrQ","info@visionsperformingartscompany.org",NA,"1445 Dayton St.","Aurora ","CO ",80010,NA,"Visions Performing Arts Company ",NA,NA,NA,"",NA,NA,"","7/17/19","7/28/19",NA,"Dayton Opportunity Center",80010,"dance, arts","7/17/19","8:00am","5:30pm","9.5 hours",39.739073,-104.8755175,"39.739073 -104.8755175"
"1445 Dayton St.","CO","Aurora","region_co","Visions Performing Arts Company ","https://visionsperformingartscollegeprep.org/?fbclid=IwAR2snkioo_fu8vf2_VYX8A5I-u_Uo5RNRs1nAfKZ8JAfgBQHcHBPuAg7VrQ","info@visionsperformingartscompany.org",NA,"1445 Dayton St.","Aurora ","CO ",80010,NA,"Visions Performing Arts Company ",NA,NA,NA,"",NA,NA,"","7/17/19","7/28/19",NA,"Dayton Opportunity Center",80010,"dance, arts","7/18/19","8:00am","5:30pm","9.5 hours",39.739073,-104.8755175,"39.739073 -104.8755175"
"1445 Dayton St.","CO","Aurora","region_co","Visions Performing Arts Company ","https://visionsperformingartscollegeprep.org/?fbclid=IwAR2snkioo_fu8vf2_VYX8A5I-u_Uo5RNRs1nAfKZ8JAfgBQHcHBPuAg7VrQ","info@visionsperformingartscompany.org",NA,"1445 Dayton St.","Aurora ","CO ",80010,NA,"Visions Performing Arts Company ",NA,NA,NA,"",NA,NA,"","7/17/19","7/28/19",NA,"Dayton Opportunity Center",80010,"dance, arts","7/19/19","8:00am","5:30pm","9.5 hours",39.739073,-104.8755175,"39.739073 -104.8755175"
"1445 Dayton St.","CO","Aurora","region_co","Visions Performing Arts Company ","https://visionsperformingartscollegeprep.org/?fbclid=IwAR2snkioo_fu8vf2_VYX8A5I-u_Uo5RNRs1nAfKZ8JAfgBQHcHBPuAg7VrQ","info@visionsperformingartscompany.org",NA,"1445 Dayton St.","Aurora ","CO ",80010,NA,"Visions Performing Arts Company ",NA,NA,NA,"",NA,NA,"","7/17/19","7/28/19",NA,"Dayton Opportunity Center",80010,"dance, arts","7/20/19","8:00am","5:30pm","9.5 hours",39.739073,-104.8755175,"39.739073 -104.8755175"
"1445 Dayton St.","CO","Aurora","region_co","Visions Performing Arts Company ","https://visionsperformingartscollegeprep.org/?fbclid=IwAR2snkioo_fu8vf2_VYX8A5I-u_Uo5RNRs1nAfKZ8JAfgBQHcHBPuAg7VrQ","info@visionsperformingartscompany.org",NA,"1445 Dayton St.","Aurora ","CO ",80010,NA,"Visions Performing Arts Company ",NA,NA,NA,"",NA,NA,"","7/17/19","7/28/19",NA,"Dayton Opportunity Center",80010,"dance, arts","7/21/19","8:00am","5:30pm","9.5 hours",39.739073,-104.8755175,"39.739073 -104.8755175"
"1445 Dayton St.","CO","Aurora","region_co","Visions Performing Arts Company ","https://visionsperformingartscollegeprep.org/?fbclid=IwAR2snkioo_fu8vf2_VYX8A5I-u_Uo5RNRs1nAfKZ8JAfgBQHcHBPuAg7VrQ","info@visionsperformingartscompany.org",NA,"1445 Dayton St.","Aurora ","CO ",80010,NA,"Visions Performing Arts Company ",NA,NA,NA,"",NA,NA,"","7/17/19","7/28/19",NA,"Dayton Opportunity Center",80010,"dance, arts","7/24/19","8:00am","5:30pm","9.5 hours",39.739073,-104.8755175,"39.739073 -104.8755175"
"1445 Dayton St.","CO","Aurora","region_co","Visions Performing Arts Company ","https://visionsperformingartscollegeprep.org/?fbclid=IwAR2snkioo_fu8vf2_VYX8A5I-u_Uo5RNRs1nAfKZ8JAfgBQHcHBPuAg7VrQ","info@visionsperformingartscompany.org",NA,"1445 Dayton St.","Aurora ","CO ",80010,NA,"Visions Performing Arts Company ",NA,NA,NA,"",NA,NA,"","7/17/19","7/28/19",NA,"Dayton Opportunity Center",80010,"dance, arts","7/25/19","8:00am","5:30pm","9.5 hours",39.739073,-104.8755175,"39.739073 -104.8755175"
"1445 Dayton St.","CO","Aurora","region_co","Visions Performing Arts Company ","https://visionsperformingartscollegeprep.org/?fbclid=IwAR2snkioo_fu8vf2_VYX8A5I-u_Uo5RNRs1nAfKZ8JAfgBQHcHBPuAg7VrQ","info@visionsperformingartscompany.org",NA,"1445 Dayton St.","Aurora ","CO ",80010,NA,"Visions Performing Arts Company ",NA,NA,NA,"",NA,NA,"","7/17/19","7/28/19",NA,"Dayton Opportunity Center",80010,"dance, arts","7/26/19","8:00am","5:30pm","9.5 hours",39.739073,-104.8755175,"39.739073 -104.8755175"
"1445 Dayton St.","CO","Aurora","region_co","Visions Performing Arts Company ","https://visionsperformingartscollegeprep.org/?fbclid=IwAR2snkioo_fu8vf2_VYX8A5I-u_Uo5RNRs1nAfKZ8JAfgBQHcHBPuAg7VrQ","info@visionsperformingartscompany.org",NA,"1445 Dayton St.","Aurora ","CO ",80010,NA,"Visions Performing Arts Company ",NA,NA,NA,"",NA,NA,"","7/17/19","7/28/19",NA,"Dayton Opportunity Center",80010,"dance, arts","7/27/19","8:00am","5:30pm","9.5 hours",39.739073,-104.8755175,"39.739073 -104.8755175"
"1445 Dayton St.","CO","Aurora","region_co","Visions Performing Arts Company ","https://visionsperformingartscollegeprep.org/?fbclid=IwAR2snkioo_fu8vf2_VYX8A5I-u_Uo5RNRs1nAfKZ8JAfgBQHcHBPuAg7VrQ","info@visionsperformingartscompany.org",NA,"1445 Dayton St.","Aurora ","CO ",80010,NA,"Visions Performing Arts Company ",NA,NA,NA,"",NA,NA,"","7/17/19","7/28/19",NA,"Dayton Opportunity Center",80010,"dance, arts","7/28/19","8:00am","5:30pm","9.5 hours",39.739073,-104.8755175,"39.739073 -104.8755175"
"2000 Valentia St.","CO","Denver","region_co","SCD Enrichment Camp","https://www.scdenrichment.org/summer-camp","scdenrichment@gmail.com",NA,"4860 Chambers Rd, #102","Denver","CO ",80239,NA,"SCD Enrichment Camp",NA,NA,50,"",12,18,"$50 ","7/22/19","7/26/19",NA,"DSST Stapleton High School",80238,"stem, arts, academics","7/22/19","9:00am","3:30pm","6.5 hours ",39.7478502,-104.8899965,"39.7478502 -104.8899965"
"2000 Valentia St.","CO","Denver","region_co","SCD Enrichment Camp","https://www.scdenrichment.org/summer-camp","scdenrichment@gmail.com",NA,"4860 Chambers Rd, #102","Denver","CO ",80239,NA,"SCD Enrichment Camp",NA,NA,50,"",12,18,"$50 ","7/22/19","7/26/19",NA,"DSST Stapleton High School",80238,"stem, arts, academics","7/23/19","9:00am","3:30pm","6.5 hours ",39.7478502,-104.8899965,"39.7478502 -104.8899965"
"2000 Valentia St.","CO","Denver","region_co","SCD Enrichment Camp","https://www.scdenrichment.org/summer-camp","scdenrichment@gmail.com",NA,"4860 Chambers Rd, #102","Denver","CO ",80239,NA,"SCD Enrichment Camp",NA,NA,50,"",12,18,"$50 ","7/22/19","7/26/19",NA,"DSST Stapleton High School",80238,"stem, arts, academics","7/24/19","9:00am","3:30pm","6.5 hours ",39.7478502,-104.8899965,"39.7478502 -104.8899965"
"2000 Valentia St.","CO","Denver","region_co","SCD Enrichment Camp","https://www.scdenrichment.org/summer-camp","scdenrichment@gmail.com",NA,"4860 Chambers Rd, #102","Denver","CO ",80239,NA,"SCD Enrichment Camp",NA,NA,50,"",12,18,"$50 ","7/22/19","7/26/19",NA,"DSST Stapleton High School",80238,"stem, arts, academics","7/25/19","9:00am","3:30pm","6.5 hours ",39.7478502,-104.8899965,"39.7478502 -104.8899965"
"2000 Valentia St.","CO","Denver","region_co","SCD Enrichment Camp","https://www.scdenrichment.org/summer-camp","scdenrichment@gmail.com",NA,"4860 Chambers Rd, #102","Denver","CO ",80239,NA,"SCD Enrichment Camp",NA,NA,50,"",12,18,"$50 ","7/22/19","7/26/19",NA,"DSST Stapleton High School",80238,"stem, arts, academics","7/26/19","9:00am","3:30pm","6.5 hours ",39.7478502,-104.8899965,"39.7478502 -104.8899965"
"2102 Marion St.","CO","Denver","region_co","The JEKL Foundation for STEAM Education ","https://jeklfoundation.org","",NA,"2102 Marion St.","Denver","CO",80205,NA,"JEKL: Think Like a Girl Summer Camp ",NA,NA,NA,"",14,18,"$30 ","8/13/19","8/16/19",NA,"Oleta Crain Enrichment Academy",80205,"academic, stem, arts","8/13/19","9:00am","3:30pm","6.5 hours ",39.7484189,-104.9717654,"39.7484189 -104.9717654"
"2102 Marion St.","CO","Denver","region_co","The JEKL Foundation for STEAM Education ","https://jeklfoundation.org","",NA,"2102 Marion St.","Denver","CO",80205,NA,"JEKL: Think Like a Girl Summer Camp ",NA,NA,NA,"",14,18,"$30 ","8/13/19","8/16/19",NA,"Oleta Crain Enrichment Academy",80205,"academic, stem, arts","8/14/19","9:00am","3:30pm","6.5 hours ",39.7484189,-104.9717654,"39.7484189 -104.9717654"
"2102 Marion St.","CO","Denver","region_co","The JEKL Foundation for STEAM Education ","https://jeklfoundation.org","",NA,"2102 Marion St.","Denver","CO",80205,NA,"JEKL: Think Like a Girl Summer Camp ",NA,NA,NA,"",14,18,"$30 ","8/13/19","8/16/19",NA,"Oleta Crain Enrichment Academy",80205,"academic, stem, arts","8/15/19","9:00am","3:30pm","6.5 hours ",39.7484189,-104.9717654,"39.7484189 -104.9717654"
"2102 Marion St.","CO","Denver","region_co","The JEKL Foundation for STEAM Education ","https://jeklfoundation.org","",NA,"2102 Marion St.","Denver","CO",80205,NA,"JEKL: Think Like a Girl Summer Camp ",NA,NA,NA,"",14,18,"$30 ","8/13/19","8/16/19",NA,"Oleta Crain Enrichment Academy",80205,"academic, stem, arts","8/16/19","9:00am","3:30pm","6.5 hours ",39.7484189,-104.9717654,"39.7484189 -104.9717654"
"2940 Dexter St.","CO","Denver","region_co","Collaborative Healing Intiative within Communities - CHIC","https://www.chicdenver.org/?fbclid=IwAR0KTVWt0biPSdXmBTo5pf3vF_usOYeZRBgg7hls_ZdMPaDaCXNmeynM9-E","info@chicdenver.org",NA,"5405 E 33rd Ave","Denver","CO",80207,NA,"CHIC: Wild & Out Youth Summer Camp",NA,NA,NA,"",7,14,"$0 ","6/17/19","7/19/19",NA,"Stedman Elementary",80207,"academic, stem, arts, cooking, sports, nature","6/17/19","8:00am","12:00pm","4 hours",39.759473,-104.932406,"39.759473 -104.932406"
"2940 Dexter St.","CO","Denver","region_co","Collaborative Healing Intiative within Communities - CHIC","https://www.chicdenver.org/?fbclid=IwAR0KTVWt0biPSdXmBTo5pf3vF_usOYeZRBgg7hls_ZdMPaDaCXNmeynM9-E","info@chicdenver.org",NA,"5405 E 33rd Ave","Denver","CO",80207,NA,"CHIC: Wild & Out Youth Summer Camp",NA,NA,NA,"",7,14,"$0 ","6/17/19","7/19/19",NA,"Stedman Elementary",80207,"academic, stem, arts, cooking, sports, nature","6/18/19","8:00am","12:00pm","4 hours",39.759473,-104.932406,"39.759473 -104.932406"
"2940 Dexter St.","CO","Denver","region_co","Collaborative Healing Intiative within Communities - CHIC","https://www.chicdenver.org/?fbclid=IwAR0KTVWt0biPSdXmBTo5pf3vF_usOYeZRBgg7hls_ZdMPaDaCXNmeynM9-E","info@chicdenver.org",NA,"5405 E 33rd Ave","Denver","CO",80207,NA,"CHIC: Wild & Out Youth Summer Camp",NA,NA,NA,"",7,14,"$0 ","6/17/19","7/19/19",NA,"Stedman Elementary",80207,"academic, stem, arts, cooking, sports, nature","6/19/19","8:00am","12:00pm","4 hours",39.759473,-104.932406,"39.759473 -104.932406"
"2940 Dexter St.","CO","Denver","region_co","Collaborative Healing Intiative within Communities - CHIC","https://www.chicdenver.org/?fbclid=IwAR0KTVWt0biPSdXmBTo5pf3vF_usOYeZRBgg7hls_ZdMPaDaCXNmeynM9-E","info@chicdenver.org",NA,"5405 E 33rd Ave","Denver","CO",80207,NA,"CHIC: Wild & Out Youth Summer Camp",NA,NA,NA,"",7,14,"$0 ","6/17/19","7/19/19",NA,"Stedman Elementary",80207,"academic, stem, arts, cooking, sports, nature","6/20/19","8:00am","12:00pm","4 hours",39.759473,-104.932406,"39.759473 -104.932406"
"2940 Dexter St.","CO","Denver","region_co","Collaborative Healing Intiative within Communities - CHIC","https://www.chicdenver.org/?fbclid=IwAR0KTVWt0biPSdXmBTo5pf3vF_usOYeZRBgg7hls_ZdMPaDaCXNmeynM9-E","info@chicdenver.org",NA,"5405 E 33rd Ave","Denver","CO",80207,NA,"CHIC: Wild & Out Youth Summer Camp",NA,NA,NA,"",7,14,"$0 ","6/17/19","7/19/19",NA,"Stedman Elementary",80207,"academic, stem, arts, cooking, sports, nature","6/21/29","8:00am","12:00pm","4 hours",39.759473,-104.932406,"39.759473 -104.932406"
