"long","lat","location","year_rehab","class","sqft","bgroup_id2","nbhd_id","nbhd_name"
-104.90085139,39.75180069,"Thomas (Fred N) Park",1988,"PG-COMMUNITY",5274.46916475413,"80310041071",60,"Stapleton"
-104.89582838,39.75252808,"Greenway Park",2003,"PG-COMMUNITY",8977.01780730603,"80310041071",60,"Stapleton"
-104.89247187,39.7173343,"Lowry Sports Park",2007,"PG-COMMUNITY",3153.83247077842,"80310044052",42,"Lowry Field"
-105.02327342,39.7241733,"Barnum East Park",2016,"PG-NEIGHBORHOOD",2310.18284364138,"80310010001",67,"Valverde"
-105.01227244,39.71325714,"West-Bar-Val-Wood",2010,"PG-COMMUNITY",5407.59172296778,"80310010001",67,"Valverde"
-105.00741867,39.71187745,"Byers & Pecos Park",1993,"PG-NEIGHBORHOOD",3884.54291009738,"80310010001",67,"Valverde"
-104.74971282,39.7778668,"Green Valley Ranch East Park",2011,"PG-COMMUNITY",5284.88398757931,"80310083911",28,"Gateway - Green Valley Ranch"
-104.96115147,39.67097146,"DeBoer",2010,"PG-NEIGHBORHOOD",6698.16246382167,"80310030041",64,"University"
-104.97266162,39.67153599,"Harvard Gulch Mini Park",2001,"PG-NEIGHBORHOOD",1524.04621598182,"80310030042",64,"University"
-104.96811535,39.73321878,"Cheesman Park",1992,"PG-REGIONAL",6697.44993071056,"80310032015",12,"Cheesman Park"
-104.95679372,39.72980564,"Congress Park",1991,"PG-COMMUNITY",5517.8849797076,"80310033004",20,"Congress Park"
-104.97149085,39.69859378,"Washington Park",1989,"PG-REGIONAL",3853.02238478673,"80310034021",70,"Washington Park"
-104.97130132,39.70324648,"Washington Park",1991,"PG-REGIONAL",9960.36184849725,"80310034021",70,"Washington Park"
-104.98316098,39.68867237,"Platt (James H) Park",2001,"PG-NEIGHBORHOOD",2915.62942353463,"80310030011",51,"Platt Park"
-104.98172542,39.6745902,"Harvard Gulch Park",2007,"PG-COMMUNITY",4398.8659618184,"80310030022",53,"Rosedale"
-104.88629733,39.72356822,"Great Lawn Park",2008,"PG-REGIONAL",11438.1147259772,"80310044053",42,"Lowry Field"
-104.93956974,39.65426345,"Magna Carta Park",2004,"PG-NEIGHBORHOOD",3880.93782177339,"80310040034",65,"University Hills"
-104.93685388,39.65915003,"Eisenhower (Mamie Daud) Park",2015,"PG-COMMUNITY",8620.83424098473,"80310040034",65,"University Hills"
-104.95304159,39.67704169,"Observatory Park",2010,"PG-COMMUNITY",6892.3472404164,"80310040062",66,"University Park"
-104.95365508,39.66800318,"McWilliams Park",1990,"PG-NEIGHBORHOOD",4570.85476159226,"80310040063",66,"University Park"
-104.93511271,39.76345273,"City of Axum Park",2010,"PG-NEIGHBORHOOD",5080.59931558045,"80310041013",49,"Northeast Park Hill"
-104.90914106,39.77025937,"Martin Luther King Jr Park",2017,"PG-NEIGHBORHOOD",3779.29459363816,"80310041021",49,"Northeast Park Hill"
-104.90876497,39.77038595,"Martin Luther King Jr Park",1991,"PG-COMMUNITY",3940.51665798109,"80310041021",49,"Northeast Park Hill"
-104.92081526,39.76451209,"Skyland Park",2013,"PG-NEIGHBORHOOD",4290.16585609183,"80310041023",49,"Northeast Park Hill"
-104.91013939,39.6667218,"Bible (James A) Park",1995,"PG-COMMUNITY",6833.70176737417,"80310068121",32,"Hampden"
-104.90416117,39.65714366,"Hutchinson (Theodore A) Park",2003,"PG-COMMUNITY",5287.02416673424,"80310068122",32,"Hampden"
-104.87816946,39.65632211,"Hampden Heights Park",2010,"PG-COMMUNITY",6956.15157628841,"80310068143",32,"Hampden"
-104.93346984,39.73374798,"Lindsley (Henry S) Park",2002,"PG-NEIGHBORHOOD",4282.95624419551,"80310043011",31,"Hale"
-104.88711572,39.66293269,"Golden Key Park",1998,"PG-NEIGHBORHOOD",3106.8299296679,"80310068144",32,"Hampden"
-104.8701185,39.70462202,"Bezoff",2010,"PG-NEIGHBORHOOD",5531.71169311508,"80310070372",78,"Windsor"
-105.07534993,39.66123059,"Bear Valley Park",2001,"PG-REGIONAL",1797.81636096581,"80310119032",6,"Bear Valley"
-104.92743186,39.71969804,"Robinson Park",1999,"PG-NEIGHBORHOOD",3407.0700811968,"80310043031",37,"Hilltop"
-104.90876544,39.73494081,"Montclair Park",1991,"PG-NEIGHBORHOOD",4965.52962553945,"80310043041",46,"Montclair"
-104.90430078,39.73337025,"Denison Park",2004,"PG-NEIGHBORHOOD",4137.61257149083,"80310043041",46,"Montclair"
-104.90749234,39.72958679,"Kittredge Park",2007,"PG-NEIGHBORHOOD",3718.84308888692,"80310043042",46,"Montclair"
-104.92092222,39.73229558,"Mayfair Park",2013,"PG-NEIGHBORHOOD",6639.73875422879,"80310043043",46,"Montclair"
-104.7466712,39.77260404,"42nd & Lisbon",2004,"PG-COMMUNITY",7865.84208472144,"80310083912",28,"Gateway - Green Valley Ranch"
-105.05635327,39.64633684,"Pinecrest Village Park",2006,"PG-NEIGHBORHOOD",5644.00943770302,"80310120011",27,"Fort Logan"
-104.91617834,39.71488836,"Crestmoor Park",2001,"PG-COMMUNITY",4366.60810212179,"80310043063",37,"Hilltop"
-104.84187168,39.7925573,"Elemendorf Park",2010,"PG-NEIGHBORHOOD",4580.30964284279,"80310083043",45,"Montbello"
-104.8296206,39.79353677,"Falcon Park",2017,"PG-NEIGHBORHOOD",5455.75799152988,"80310083053",45,"Montbello"
-105.06109204,39.66151538,"Bates & Hobart Park",2007,"PG-NEIGHBORHOOD",2423.20799405323,"80310119022",6,"Bear Valley"
-104.89151624,39.73358919,"Verbena Park",1998,"PG-NEIGHBORHOOD",4288.19848711223,"80310044042",24,"East Colfax"
-104.90047097,39.72396894,"City of Ulaanbaatar Park",2007,"PG-NEIGHBORHOOD",3904.23667698472,"80310044054",42,"Lowry Field"
-104.89971352,39.72948961,"Crescent Park",2004,"PG-NEIGHBORHOOD",3878.60352414391,"80310044054",42,"Lowry Field"
-104.90066117,39.71456952,"Bayaud Park",2001,"PG-NEIGHBORHOOD",5872.02786051338,"80310044051",42,"Lowry Field"
-104.84129469,39.78519691,"Silverman (Melvin F) Park",2012,"PG-NEIGHBORHOOD",5280.68991805094,"80310083061",45,"Montbello"
-104.82960504,39.78455425,"Montbello Central Park",1992,"PG-COMMUNITY",3658.5536552179,"80310083872",45,"Montbello"
-105.06537306,39.65884667,"Bear Valley Park",1998,"PG-REGIONAL",4432.15160498679,"80310119023",6,"Bear Valley"
-105.03795492,39.71061383,"Cuatro Vientos",2014,"PG-NEIGHBORHOOD",5229.74551897796,"80310045051",76,"Westwood"
-105.04221787,39.68531756,"Sanderson Gulch Open Space",1995,"PG-NEIGHBORHOOD",1641.98796854967,"80310046013",43,"Mar Lee"
-104.83225919,39.77736133,"Village Place Park",2004,"PG-COMMUNITY",4567.54017674234,"80310083121",45,"Montbello"
-105.03712785,39.6851128,"Sanderson Gulch Open Space",1995,"PG-NEIGHBORHOOD",6331.96869723466,"80310046022",43,"Mar Lee"
-105.02931711,39.6870392,"Sanderson Gulch - Irving & Java",2010,"PG-NEIGHBORHOOD",6067.41656374009,"80310046022",43,"Mar Lee"
-105.0374285,39.69523707,"Garfield Lake Park",1993,"PG-COMMUNITY",5223.60078611639,"80310046024",43,"Mar Lee"
-105.04259655,39.6787745,"Harvey Park",1998,"PG-COMMUNITY",5555.54830991359,"80310047001",34,"Harvey Park"
-104.9703479,39.76938405,"St Charles Place Park",1994,"PG-NEIGHBORHOOD",3822.10805637192,"80310036011",18,"Cole"
-104.9561775,39.76855607,"Schafer (Martin J) Park",1993,"PG-NEIGHBORHOOD",5303.06632639032,"80310036021",17,"Clayton"
-105.00451063,39.77027137,"Columbus Park",2002,"PG-NEIGHBORHOOD",3850.21408282051,"80310011013",62,"Sunnyside"
-105.0104967,39.77631637,"Chaffee (Jerome B) Park",2009,"PG-NEIGHBORHOOD",3403.26034852121,"80310011014",62,"Sunnyside"
-105.00139297,39.76846582,"Franco (Bernabe Indio) Park",2002,"PG-NEIGHBORHOOD",3684.99657362532,"80310011021",36,"Highland"
-105.01069279,39.75990242,"Hirshorn Park",2000,"PG-NEIGHBORHOOD",5266.30677979464,"80310011023",36,"Highland"
-105.00667465,39.76186392,"Highland Gateway Park",1998,"PG-NEIGHBORHOOD",1696.38706995901,"80310011023",36,"Highland"
-105.00614718,39.76352436,"St Patricks Park",1998,"PG-NEIGHBORHOOD",597.603101489831,"80310011023",36,"Highland"
-105.00529345,39.68526284,"Ruby Hill Park",2011,"PG-REGIONAL",11387.6630854011,"80310014021",54,"Ruby Hill"
-104.76616739,39.78887046,"Town Center",2007,"PG-COMMUNITY",7758.71411800116,"80310083892",28,"Gateway - Green Valley Ranch"
-104.80616708,39.79316179,"Parkfield",2011,"PG-REGIONAL",17154.2839783064,"80310083881",28,"Gateway - Green Valley Ranch"
-104.99758733,39.68001611,"Pasquinel's Landing",2017,"",3317.98465096168,"80310014031",50,"Overland"
-104.99703872,39.67568464,"Grant Frontier Park",2017,"PG-NEIGHBORHOOD",4636.70974125379,"80310014032",50,"Overland"
-104.98710303,39.7886645,"51st & Broadway Park",2016,"PG-NEIGHBORHOOD",2902.95900279867,"80310015001",29,"Globeville"
-104.89953867,39.74467581,"McNichols (William H) Park",1992,"PG-NEIGHBORHOOD",4712.18559830862,"80310044033",24,"East Colfax"
-104.76763824,39.7785593,"Green Valley Ranch West Park",2004,"PG-NEIGHBORHOOD",5260.49223089445,"80310083901",28,"Gateway - Green Valley Ranch"
